date;cb privatbank;credit agricole bank;fuib;kredobank;oschadbank;otp bank;pivdennyi bank;raiffeisen bank;sense bank;ukrsibbank;universal bank
2022-12-01;710086414.31086;75154818.57112001;125366551.4684;39884574.18679;282828210.61815995;97612810.49727;46044810.87096;176110653.85202003;95493134.65873998;106513295.45543;85248199.89927
2023-01-01;737413903.9701298;79245229.09144;127791944.34312;41619657.38385;298158416.9177;100416887.52636;49655164.79508;187290030.47866;96063275.70045;113072946.86456;95220717.84483
2023-02-01;731936384.15603;81029187.35808;127843757.10499;42532651.8409;301562537.82942003;101364676.98321;47277759.603750005;188670725.42472;95000426.44226;114267252.90289;93099100.35741
2023-03-01;740266026.4433;86045834.92471;126981496.2105;42239391.67699;311188457.10998;97864481.0202;50250418.57133;190214931.40297;96877283.81315;116802518.92734;95724631.84081998
2023-04-01;747828774.4273;92905019.04594;125321935.64822;43856251.36712;306305522.99104;103981028.70621;50736231.71482;184303689.07911;97653529.63283;119513893.21256;97958950.10313
2023-05-01;759311422.64436;93392254.52893;128576984.82842;45498740.53772;311898177.67059;108367392.88292;52083801.21311999;191455603.44124;97191989.46095;129812504.71449;101030723.45542
2023-06-01;742433484.06888;96744837.50489;131956452.18873;46854056.01113;313652628.93174;103327424.79615;55058789.21946;184200274.05228;96637567.42859;132160651.97032;100240406.21136
2023-07-01;761943462.32789;100915637.30612;137657339.37212;48450639.46631;324741437.87735003;102593138.95055;59638331.41559;187426793.51198;96615246.98116;138147496.62741;101700907.40904
2023-08-01;777563028.1255399;101438065.25958;143716766.47097;50123982.88816;335579158.44024;103530147.35376;60719905.89595;193923389.12377;95782388.45052;142382553.92547;102995590.06555
2023-09-01;782315567.6145099;101149391.44913;145029213.73920998;52054276.99086;337985587.86592007;102694200.60176;56426925.6136;195037504.31527;103395282.04577;140602521.71578;104224442.75586
2023-10-01;798779234.44881;100365221.10966;145751639.60062;51498091.53635;343000055.84053;103135106.72097;52648246.95394;196352014.21639;107971270.56714;137397115.96493998;107572479.60787
2023-11-01;804145626.7891301;105617456.88935;147681699.04767;51859308.159200005;346855449.15183;108562675.20675;53931669.240789995;194436266.8538;115572839.22047;134549461.21936998;109798919.77192
2023-12-01;833028582.93969;103072437.81694;152667901.64231;53070624.22048999;349829538.20150995;106380055.66071;55182518.64721;197837927.13371;123662238.16131;139453880.58437;112473347.8801
2024-01-01;878249698.57327;111086018.89543;162546189.42321002;58818708.39104;369648417.15736;111011180.56698;58527274.57726;203552185.14412;131199437.77167;147102938.76042002;127159475.75417002
2024-02-01;862636105.1868;113854774.04768;158861363.85627;56229636.07021999;369564190.026;111291185.12854;57719735.691709995;207941863.76147;131899447.70109;148079268.08569;119697841.44896
2024-03-01;848643343.37598;117497901.52943;163011158.58827;56553969.31953;376361059.12974;111561819.82976;56889301.50344;212149624.20099;131636610.20716;151159987.23623;121345459.57233
