,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Sense,is_Ukrsibbank,is_Universal
64,Ukrsibbank,07/2019,0.0131734006734006,-0.0118125,-0.0330519276355591,0.3352669870415954,0.1644718454930729,-0.0105737506515495,-0.0055249569396113,0.0276149560796702,0.0629877239812459,0.0266941277660472,-0.0051286416052208,-0.0001751213553281,0,0,0,0,0,0,0,0,1,0
65,Universal,07/2019,0.0131734006734006,-0.0118125,0.0238094548182268,-0.0625835405728402,-0.035691443281026,0.9203303225789106,0.0588853983057398,0.0117416225251121,0.1095340625974493,0.0637517955136599,0.0810222612296187,0.0026639103380156,0,0,0,0,0,0,0,0,0,1
66,Privat_Bank,08/2019,-0.0281186406186406,-0.0095909003277424,0.0027986261355873,-0.0291570211126386,-0.0198816613990642,2.868759661847692,-0.0200422648114683,-0.0170855771588449,0.1083747435070211,0.2208423264750713,0.0572260575515492,0.0004106640709094,0,0,0,0,0,0,1,0,0,0
67,Credit_Agricole,08/2019,-0.0281186406186406,-0.0095909003277424,0.0030815007691548,-0.0404004769530176,-0.038226311932473,0.256680715413335,-0.0199999064651292,-0.0192599841701356,0.0361447573414102,-0.0003363406729819,0.0300031281588694,0.0005425867463348,1,0,0,0,0,0,0,0,0,0
68,FUIB,08/2019,-0.0281186406186406,-0.0095909003277424,0.013011521801238,-0.0006287985363042,-0.1049008314009219,0.4133781067442797,0.0345443877731191,-0.0149909140937516,0.014222438020839,0.0169854499400423,0.0114919003906616,0.0010355175992844,0,1,0,0,0,0,0,0,0,0
69,Kredobank,08/2019,-0.0281186406186406,-0.0095909003277424,0.0048865406260896,-0.0774696262464946,-0.0727432121634388,0.4289549852502253,0.0541108277347667,0.0431549039166063,0.024853368141707,0.0465966673859124,0.0351047844576473,-9.064732307302824e-05,0,0,1,0,0,0,0,0,0,0
70,Oschadbank,08/2019,-0.0281186406186406,-0.0095909003277424,-0.0224978528370446,0.048629221060682,-0.0107882777500227,4.600285339292558,-0.0704822796375658,-0.0018050271317682,-0.0050418103233444,1.6198243090374025,0.0370454854024817,0.0002711030085364,0,0,0,0,1,0,0,0,0,0
71,OTP,08/2019,-0.0281186406186406,-0.0095909003277424,-0.0268232495847211,0.0026371849061532,-0.0311346912878852,-0.0163933374244473,-0.0438109342411316,-0.0339257382237658,0.0076384904130035,-0.0302645010022653,-0.0043732134288837,0.0015973703004411,0,0,0,1,0,0,0,0,0,0
72,Pivdennyi,08/2019,-0.0281186406186406,-0.0095909003277424,-0.0026962566920772,-0.0213853752968148,-0.1272774995197559,0.9441465798565356,-0.0314471107252007,-0.0451512862038296,-0.002069791832564,-0.005764991904911,0.0153066563104894,0.0008833379718049,0,0,0,0,0,1,0,0,0,0
73,Raiffeisen,08/2019,-0.0281186406186406,-0.0095909003277424,-0.0272372110241129,-0.0004132491454228,0.0892429321578232,-0.0949381549797644,-0.0106001733901456,0.0301573355177939,0.0328083610742368,-0.0109008241822881,0.0232668589870916,0.00055476560721,0,0,0,0,0,0,0,0,0,0
